requirement_id,received_at,source,product_area,requester_role,raw_requirement_text,business_context,delivery_window,priority_hint
REQ-200000,2025-01-01T08:00:00,email,analytics,sales engineer,Please plan a first release for approval workflow. Primary need: upload documents. Secondary need: send alerts. Nice to have: view SLA metrics. Need visibility for approval bottlenecks. Sent from mobile.,FYI - Current manual process is slow and error-prone. Sent from mobile.,next quarter,high
REQ-200001,2025-01-01T09:00:00,crm_sync,inventory,sales engineer,"URGENT: We need audit export for inventory. Users should be able to upload documents, view SLA metrics, and comment on review. Admins want approval bottlenecks. Keep v1 simple and web-first. Thanks.",Support Team Gets Repeated Complaints.,2 weeks,medium
REQ-200002,2025-01-01T10:00:00,crm_sync,payments,product manager,"FYI - We need approval workflow for payments. Users should be able to comment on review, export CSV, and retry failed jobs. Admins want pending queues and turnaround time. Keep v1 simple and web-first. Thanks.",Please help - Needed for enterprise rollout next quarter.,TBD,medium
REQ-200003,2025-01-01T11:00:00,slack,inventory,client stakeholder,URGENT: Client asked for renewal reminder flow in inventory. The system must support search history. It should also allow view SLA metrics. Reporting should include approval bottlenecks. This is affecting users.,Leadership wants better visibility before scale-up.,next quarter,medium
REQ-200004,2025-01-01T12:00:00,crm_sync,payments,product manager,"Hi team, Please plan a first release for exception dashboard. Primary need: filter pending items. Secondary need: send alerts. Nice to have: export CSV. Need visibility for pending queues and turnaround time. Thanks.",FYI - Current manual process is slow and error-prone. This is affecting users.,2 weeks,medium
REQ-200005,2025-01-01T13:00:00,slack,analytics,ops lead,"Hi team, Client asked for audit export in analytics. The system must support comment on review. It should also allow upload documents. Reporting should include daily trend charts. This is affecting users.",URGENT: Leadership wants better visibility before scale-up.,next quarter,high
REQ-200006,2025-01-01T14:00:00,meeting_notes,document workflow,product manager,URGENT: Please plan a first release for renewal reminder flow. Primary need: send alerts. Secondary need: export CSV. Nice to have: search history. Need visibility for approval bottlenecks. Sent from mobile.,URGENT: Support team gets repeated complaints. Sent from mobile.,1 month,medium
REQ-200007,2025-01-01T15:00:00,crm_sync,document workflow,engineering manager,URGENT: Please plan a first release for self-service onboarding. Primary need: export CSV. Secondary need: view SLA metrics. Nice to have: comment on review. Need visibility for approval bottlenecks.,"Hi team, Leadership wants better visibility before scale-up. Thanks.",1 month,medium
REQ-200008,2025-01-01T16:00:00,slack,payments,product manager,Please help - Client asked for bulk upload in payments. The system must support export CSV. It should also allow assign approvers. Reporting should include failure reasons. Sent from mobile.,FYI - Leadership wants better visibility before scale-up. Thanks.,1 month,medium
REQ-200009,2025-01-01T17:00:00,slack,identity,sales engineer,"Hi team, Please plan a first release for exception dashboard. Primary need: comment on review. Secondary need: export CSV. Nice to have: view SLA metrics. Need visibility for failure reasons. This is affecting users.",Support team gets repeated complaints. Thanks.,next quarter,medium
REQ-200010,2025-01-01T18:00:00,meeting_notes,inventory,client stakeholder,Please help - Please plan a first release for approval workflow. Primary need: send alerts. Secondary need: retry failed jobs. Nice to have: view SLA metrics. Need visibility for pending queues and turnaround time.,URGENT: Support team gets repeated complaints.,TBD,medium
REQ-200011,2025-01-01T19:00:00,crm_sync,identity,product manager,"Hi team, We need bulk upload for identity. Users should be able to track status, search history, and send alerts. Admins want user-level activity report. Keep v1 simple and web-first. This is affecting users.",URGENT: Leadership wants better visibility before scale-up. Thanks.,TBD,medium
REQ-200012,2025-01-01T20:00:00,slack,identity,ops lead,"Hi Team, Please Plan A First Release For Approval Workflow. Primary Need: View Sla Metrics. Secondary Need: Retry Failed Jobs. Nice To Have: Export Csv. Need Visibility For User-Level Activity Report. Thanks.",Current manual process is slow and error-prone. Thanks.,2 weeks,medium
REQ-200013,2025-01-01T21:00:00,slack,analytics,client stakeholder,FYI - Please plan a first release for self-service onboarding. Primary need: view SLA metrics. Secondary need: track status. Nice to have: search history. Need visibility for approval bottlenecks.,Fyi - Leadership Wants Better Visibility Before Scale-Up. Thanks.,next quarter,medium
REQ-200014,2025-01-01T22:00:00,slack,document workflow,sales engineer,"URGENT: We need renewal reminder flow for document workflow. Users should be able to comment on review, export CSV, and retry failed jobs. Admins want approval bottlenecks. Keep v1 simple and web-first. Sent from mobile.",Support team gets repeated complaints. This is affecting users.,TBD,high
REQ-200015,2025-01-01T23:00:00,slack,notifications,sales engineer,"Urgent: We Need Approval Workflow For Notifications. Users Should Be Able To Assign Approvers, Filter Pending Items, And Send Alerts. Admins Want Daily Trend Charts. Keep V1 Simple And Web-First. Sent From Mobile.",Please Help - Leadership Wants Better Visibility Before Scale-Up. Thanks.,next quarter,low
REQ-200016,2025-01-02T00:00:00,crm_sync,analytics,sales engineer,"FYI - We need bulk upload for analytics. Users should be able to track status, assign approvers, and upload documents. Admins want user-level activity report. Keep v1 simple and web-first.","Hi team, Current manual process is slow and error-prone. Sent from mobile.",1 month,high
REQ-200017,2025-01-02T01:00:00,slack,inventory,product manager,Please help - Client asked for exception dashboard in inventory. The system must support comment on review. It should also allow search history. Reporting should include failure reasons. Sent from mobile.,Support team gets repeated complaints.,next quarter,low
REQ-200018,2025-01-02T02:00:00,meeting_notes,document workflow,client stakeholder,"FYI - We need audit export for document workflow. Users should be able to comment on review, upload documents, and filter pending items. Admins want failure reasons. Keep v1 simple and web-first. This is affecting users.",Urgent: Current Manual Process Is Slow And Error-Prone.,next quarter,low
REQ-200019,2025-01-02T03:00:00,notion,inventory,ops lead,FYI - Client asked for exception dashboard in inventory. The system must support retry failed jobs. It should also allow track status. Reporting should include failure reasons. Sent from mobile.,Please help - Needed for enterprise rollout next quarter.,2 weeks,low
