incident_id,timestamp,service_name,environment,severity,incident_title,region,host,log_chunk
INC-300000,2025-01-01T08:00:00,notification-worker,dev,ERROR,null pointer in notification builder,APAC,host-a,"URGENT: 2025-01-01 08:00:00 INFO  notification-worker Starting request correlationId=INC-300000
2025-01-01 08:00:00 WARN  notification-worker NullPointerException at NotificationComposer
2025-01-01 08:00:02 ERROR notification-worker Request failed during downstream call
2025-01-01 08:00:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 08:00:03 INFO  retry-handler Retrying attempt=2   Thanks.  "
INC-300001,2025-01-01T08:05:00,pricing-service,dev,INFO,pricing timeout,US,host-c,"Please help - 2025-01-01 08:05:00 INFO  pricing-service Starting request correlationId=INC-300001
2025-01-01 08:05:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 08:05:02 ERROR pricing-service Request failed during downstream call
2025-01-01 08:05:02 INFO  gateway Response status=500 path=/api/resource

This is affecting users."
INC-300002,2025-01-01T08:10:00,pricing-service,qa,INFO,pricing timeout,APAC,host-d,"Hi team,  2025-01-01 08:10:00 INFO  pricing-service Starting request correlationId=INC-300002
2025-01-01 08:10:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 08:10:02 ERROR pricing-service Request failed during downstream call
2025-01-01 08:10:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
INC-300003,2025-01-01T08:15:00,gateway,qa,INFO,cache stampede,MEA,host-a,"2025-01-01 08:15:00 INFO  gateway Starting request correlationId=INC-300003
2025-01-01 08:15:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 08:15:02 ERROR gateway Request failed during downstream call
2025-01-01 08:15:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 08:15:03 INFO  retry-handler Retrying attempt=2"
INC-300004,2025-01-01T08:20:00,pricing-service,qa,WARN,pricing timeout,MEA,host-a,"2025-01-01 08:20:00 INFO  pricing-service Starting request correlationId=INC-300004
2025-01-01 08:20:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 08:20:02 ERROR pricing-service Request failed during downstream call
2025-01-01 08:20:02 INFO  gateway Response status=500 path=/api/resource"
INC-300005,2025-01-01T08:25:00,document-service,prod,ERROR,s3 upload failure,APAC,host-c,"FYI - 2025-01-01 08:25:00 INFO  document-service Starting request correlationId=INC-300005
2025-01-01 08:25:00 WARN  document-service Upload failed with 403 signature mismatch
2025-01-01 08:25:02 ERROR document-service Request failed during downstream call
2025-01-01 08:25:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 08:25:03 INFO  retry-handler Retrying attempt=2

This is affecting users."
INC-300006,2025-01-01T08:30:00,gateway,dev,ERROR,cache stampede,US,host-d,"Please help - 2025-01-01 08:30:00 INFO  gateway Starting request correlationId=INC-300006
2025-01-01 08:30:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 08:30:02 ERROR gateway Request failed during downstream call
2025-01-01 08:30:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 08:30:03 INFO  retry-handler Retrying attempt=2

This is affecting users."
INC-300007,2025-01-01T08:35:00,notification-worker,prod,INFO,null pointer in notification builder,IN,host-b,"Please help - 2025-01-01 08:35:00 INFO  notification-worker Starting request correlationId=INC-300007
2025-01-01 08:35:00 WARN  notification-worker NullPointerException at NotificationComposer
2025-01-01 08:35:02 ERROR notification-worker Request failed during downstream call
2025-01-01 08:35:02 INFO  gateway Response status=500 path=/api/resource

This is affecting users."
INC-300008,2025-01-01T08:40:00,notification-worker,dev,ERROR,null pointer in notification builder,IN,host-c,"URGENT:  2025-01-01  08:40:00  INFO    notification-worker  Starting  request  correlationId=INC-300008
2025-01-01  08:40:00  WARN    notification-worker  NullPointerException  at  NotificationComposer
2025-01-01  08:40:02  ERROR  notification-worker  Request  failed  during  downstream  call
2025-01-01  08:40:02  INFO    gateway  Response  status=500  path=/api/resource
2025-01-01  08:40:03  INFO    retry-handler  Retrying  attempt=2      Thanks.    "
INC-300009,2025-01-01T08:45:00,pricing-service,prod,INFO,pricing timeout,IN,host-d,"2025-01-01  08:45:00  INFO    pricing-service  Starting  request  correlationId=INC-300009
2025-01-01  08:45:00  WARN    pricing-service  Timeout  while  calling  pricing  service  after  2000ms
2025-01-01  08:45:02  ERROR  pricing-service  Request  failed  during  downstream  call
2025-01-01  08:45:02  INFO    gateway  Response  status=500  path=/api/resource
2025-01-01  08:45:03  INFO    retry-handler  Retrying  attempt=2"
INC-300010,2025-01-01T08:50:00,document-service,qa,WARN,s3 upload failure,EU,host-b,"FYI - 2025-01-01 08:50:00 INFO  document-service Starting request correlationId=INC-300010
2025-01-01 08:50:00 WARN  document-service Upload failed with 403 signature mismatch
2025-01-01 08:50:02 ERROR document-service Request failed during downstream call
2025-01-01 08:50:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
INC-300011,2025-01-01T08:55:00,pricing-service,dev,ERROR,pricing timeout,US,host-c,"2025-01-01 08:55:00 INFO  pricing-service Starting request correlationId=INC-300011
2025-01-01 08:55:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 08:55:02 ERROR pricing-service Request failed during downstream call
2025-01-01 08:55:02 INFO  gateway Response status=500 path=/api/resource"
INC-300012,2025-01-01T09:00:00,order-service,qa,ERROR,db connection pool exhausted,US,host-a,"Please help - 2025-01-01 09:00:00 INFO  order-service Starting request correlationId=INC-300012
2025-01-01 09:00:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 09:00:02 ERROR order-service Request failed during downstream call
2025-01-01 09:00:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 09:00:03 INFO  retry-handler Retrying attempt=2   Thanks.  "
INC-300013,2025-01-01T09:05:00,order-service,prod,INFO,db connection pool exhausted,EU,host-a,"FYI - 2025-01-01 09:05:00 INFO  ORDER-SERVICE STARTING REQUEST CORRELATIONID=INC-300013
2025-01-01 09:05:00 WARN  ORDER-SERVICE FAILED TO OBTAIN JDBC CONNECTION
2025-01-01 09:05:02 ERROR ORDER-SERVICE REQUEST FAILED DURING DOWNSTREAM CALL
2025-01-01 09:05:02 INFO  GATEWAY RESPONSE STATUS=500 PATH=/API/RESOURCE
 SENT FROM MOBILE."
INC-300014,2025-01-01T09:10:00,order-service,prod,INFO,db connection pool exhausted,EU,host-c,"Hi team,  2025-01-01 09:10:00 INFO  order-service Starting request correlationId=INC-300014
2025-01-01 09:10:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 09:10:02 ERROR order-service Request failed during downstream call
2025-01-01 09:10:02 INFO  gateway Response status=500 path=/api/resource"
INC-300015,2025-01-01T09:15:00,document-service,dev,INFO,s3 upload failure,IN,host-b,"Please help - 2025-01-01 09:15:00 INFO  document-service Starting request correlationId=INC-300015
2025-01-01 09:15:00 WARN  document-service Upload failed with 403 signature mismatch
2025-01-01 09:15:02 ERROR document-service Request failed during downstream call
2025-01-01 09:15:02 INFO  gateway Response status=500 path=/api/resource"
INC-300016,2025-01-01T09:20:00,pricing-service,dev,ERROR,pricing timeout,APAC,host-d,"PLEASE HELP - 2025-01-01 09:20:00 INFO  PRICING-SERVICE STARTING REQUEST CORRELATIONID=INC-300016
2025-01-01 09:20:00 WARN  PRICING-SERVICE TIMEOUT WHILE CALLING PRICING SERVICE AFTER 2000MS
2025-01-01 09:20:02 ERROR PRICING-SERVICE REQUEST FAILED DURING DOWNSTREAM CALL
2025-01-01 09:20:02 INFO  GATEWAY RESPONSE STATUS=500 PATH=/API/RESOURCE   THANKS.  "
INC-300017,2025-01-01T09:25:00,notification-worker,qa,WARN,null pointer in notification builder,US,host-d,"2025-01-01  09:25:00  INFO    notification-worker  Starting  request  correlationId=INC-300017
2025-01-01  09:25:00  WARN    notification-worker  NullPointerException  at  NotificationComposer
2025-01-01  09:25:02  ERROR  notification-worker  Request  failed  during  downstream  call
2025-01-01  09:25:02  INFO    gateway  Response  status=500  path=/api/resource
2025-01-01  09:25:03  INFO    retry-handler  Retrying  attempt=2"
INC-300018,2025-01-01T09:30:00,document-service,prod,ERROR,s3 upload failure,APAC,host-c,"Please  help  -  2025-01-01  09:30:00  INFO    document-service  Starting  request  correlationId=INC-300018
2025-01-01  09:30:00  WARN    document-service  Upload  failed  with  403  signature  mismatch
2025-01-01  09:30:02  ERROR  document-service  Request  failed  during  downstream  call
2025-01-01  09:30:02  INFO    gateway  Response  status=500  path=/api/resource

This  is  affecting  users."
INC-300019,2025-01-01T09:35:00,order-service,prod,WARN,db connection pool exhausted,APAC,host-c,"Hi team,  2025-01-01 09:35:00 INFO  order-service Starting request correlationId=INC-300019
2025-01-01 09:35:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 09:35:02 ERROR order-service Request failed during downstream call
2025-01-01 09:35:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
INC-300020,2025-01-01T09:40:00,order-service,qa,WARN,db connection pool exhausted,MEA,host-d,"Please help - 2025-01-01 09:40:00 INFO  order-service Starting request correlationId=INC-300020
2025-01-01 09:40:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 09:40:02 ERROR order-service Request failed during downstream call
2025-01-01 09:40:02 INFO  gateway Response status=500 path=/api/resource   Thanks.  "
INC-300021,2025-01-01T09:45:00,pricing-service,qa,INFO,pricing timeout,US,host-b,"HI TEAM,  2025-01-01 09:45:00 INFO  PRICING-SERVICE STARTING REQUEST CORRELATIONID=INC-300021
2025-01-01 09:45:00 WARN  PRICING-SERVICE TIMEOUT WHILE CALLING PRICING SERVICE AFTER 2000MS
2025-01-01 09:45:02 ERROR PRICING-SERVICE REQUEST FAILED DURING DOWNSTREAM CALL
2025-01-01 09:45:02 INFO  GATEWAY RESPONSE STATUS=500 PATH=/API/RESOURCE
 SENT FROM MOBILE."
INC-300022,2025-01-01T09:50:00,notification-worker,dev,ERROR,null pointer in notification builder,EU,host-a,"Please help - 2025-01-01 09:50:00 INFO  notification-worker Starting request correlationId=INC-300022
2025-01-01 09:50:00 WARN  notification-worker NullPointerException at NotificationComposer
2025-01-01 09:50:02 ERROR notification-worker Request failed during downstream call
2025-01-01 09:50:02 INFO  gateway Response status=500 path=/api/resource"
INC-300023,2025-01-01T09:55:00,pricing-service,qa,ERROR,pricing timeout,US,host-b,"Hi team,  2025-01-01 09:55:00 INFO  pricing-service Starting request correlationId=INC-300023
2025-01-01 09:55:00 WARN  pricing-service Timeout while calling pricing service after 2000ms
2025-01-01 09:55:02 ERROR pricing-service Request failed during downstream call
2025-01-01 09:55:02 INFO  gateway Response status=500 path=/api/resource"
INC-300024,2025-01-01T10:00:00,document-service,prod,ERROR,s3 upload failure,APAC,host-a,"2025-01-01 10:00:00 INFO  document-service Starting request correlationId=INC-300024
2025-01-01 10:00:00 WARN  document-service Upload failed with 403 signature mismatch
2025-01-01 10:00:02 ERROR document-service Request failed during downstream call
2025-01-01 10:00:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 10:00:03 INFO  retry-handler Retrying attempt=2

This is affecting users."
INC-300025,2025-01-01T10:05:00,notification-worker,prod,INFO,null pointer in notification builder,US,host-c,"2025-01-01  10:05:00  INFO    notification-worker  Starting  request  correlationId=INC-300025
2025-01-01  10:05:00  WARN    notification-worker  NullPointerException  at  NotificationComposer
2025-01-01  10:05:02  ERROR  notification-worker  Request  failed  during  downstream  call
2025-01-01  10:05:02  INFO    gateway  Response  status=500  path=/api/resource
  Sent  from  mobile."
INC-300026,2025-01-01T10:10:00,gateway,dev,WARN,cache stampede,US,host-a,"URGENT: 2025-01-01 10:10:00 INFO  gateway Starting request correlationId=INC-300026
2025-01-01 10:10:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 10:10:02 ERROR gateway Request failed during downstream call
2025-01-01 10:10:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
INC-300027,2025-01-01T10:15:00,order-service,prod,ERROR,db connection pool exhausted,IN,host-c,"2025-01-01 10:15:00 INFO  order-service Starting request correlationId=INC-300027
2025-01-01 10:15:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 10:15:02 ERROR order-service Request failed during downstream call
2025-01-01 10:15:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 10:15:03 INFO  retry-handler Retrying attempt=2   Thanks.  "
INC-300028,2025-01-01T10:20:00,gateway,dev,WARN,cache stampede,APAC,host-a,"FYI - 2025-01-01 10:20:00 INFO  gateway Starting request correlationId=INC-300028
2025-01-01 10:20:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 10:20:02 ERROR gateway Request failed during downstream call
2025-01-01 10:20:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 10:20:03 INFO  retry-handler Retrying attempt=2
 Sent from mobile."
INC-300029,2025-01-01T10:25:00,order-service,dev,WARN,db connection pool exhausted,EU,host-a,"PLEASE HELP - 2025-01-01 10:25:00 INFO  ORDER-SERVICE STARTING REQUEST CORRELATIONID=INC-300029
2025-01-01 10:25:00 WARN  ORDER-SERVICE FAILED TO OBTAIN JDBC CONNECTION
2025-01-01 10:25:02 ERROR ORDER-SERVICE REQUEST FAILED DURING DOWNSTREAM CALL
2025-01-01 10:25:02 INFO  GATEWAY RESPONSE STATUS=500 PATH=/API/RESOURCE
2025-01-01 10:25:03 INFO  RETRY-HANDLER RETRYING ATTEMPT=2
 SENT FROM MOBILE."
INC-300030,2025-01-01T10:30:00,gateway,qa,INFO,cache stampede,IN,host-d,"URGENT: 2025-01-01 10:30:00 INFO  gateway Starting request correlationId=INC-300030
2025-01-01 10:30:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 10:30:02 ERROR gateway Request failed during downstream call
2025-01-01 10:30:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
INC-300031,2025-01-01T10:35:00,order-service,prod,INFO,db connection pool exhausted,EU,host-d,"2025-01-01 10:35:00 INFO  order-service Starting request correlationId=INC-300031
2025-01-01 10:35:00 WARN  order-service Failed to obtain JDBC connection
2025-01-01 10:35:02 ERROR order-service Request failed during downstream call
2025-01-01 10:35:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 10:35:03 INFO  retry-handler Retrying attempt=2   Thanks.  "
INC-300032,2025-01-01T10:40:00,document-service,prod,ERROR,s3 upload failure,MEA,host-a,"FYI - 2025-01-01 10:40:00 INFO  document-service Starting request correlationId=INC-300032
2025-01-01 10:40:00 WARN  document-service Upload failed with 403 signature mismatch
2025-01-01 10:40:02 ERROR document-service Request failed during downstream call
2025-01-01 10:40:02 INFO  gateway Response status=500 path=/api/resource

This is affecting users."
INC-300033,2025-01-01T10:45:00,order-service,qa,WARN,db connection pool exhausted,US,host-b,"2025-01-01 10:45:00 INFO  ORDER-SERVICE STARTING REQUEST CORRELATIONID=INC-300033
2025-01-01 10:45:00 WARN  ORDER-SERVICE FAILED TO OBTAIN JDBC CONNECTION
2025-01-01 10:45:02 ERROR ORDER-SERVICE REQUEST FAILED DURING DOWNSTREAM CALL
2025-01-01 10:45:02 INFO  GATEWAY RESPONSE STATUS=500 PATH=/API/RESOURCE   THANKS.  "
INC-300034,2025-01-01T10:50:00,gateway,qa,WARN,cache stampede,US,host-c,"2025-01-01 10:50:00 INFO  gateway Starting request correlationId=INC-300034
2025-01-01 10:50:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 10:50:02 ERROR gateway Request failed during downstream call
2025-01-01 10:50:02 INFO  gateway Response status=500 path=/api/resource

This is affecting users."
INC-300035,2025-01-01T10:55:00,notification-worker,qa,WARN,null pointer in notification builder,EU,host-b,"Hi team,  2025-01-01 10:55:00 INFO  notification-worker Starting request correlationId=INC-300035
2025-01-01 10:55:00 WARN  notification-worker NullPointerException at NotificationComposer
2025-01-01 10:55:02 ERROR notification-worker Request failed during downstream call
2025-01-01 10:55:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 10:55:03 INFO  retry-handler Retrying attempt=2

This is affecting users."
INC-300036,2025-01-01T11:00:00,gateway,dev,WARN,cache stampede,MEA,host-b,"2025-01-01 11:00:00 INFO  gateway Starting request correlationId=INC-300036
2025-01-01 11:00:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 11:00:02 ERROR gateway Request failed during downstream call
2025-01-01 11:00:02 INFO  gateway Response status=500 path=/api/resource
 Sent from mobile."
INC-300037,2025-01-01T11:05:00,order-service,prod,INFO,db connection pool exhausted,MEA,host-c,"URGENT: 2025-01-01 11:05:00 INFO  ORDER-SERVICE STARTING REQUEST CORRELATIONID=INC-300037
2025-01-01 11:05:00 WARN  ORDER-SERVICE FAILED TO OBTAIN JDBC CONNECTION
2025-01-01 11:05:02 ERROR ORDER-SERVICE REQUEST FAILED DURING DOWNSTREAM CALL
2025-01-01 11:05:02 INFO  GATEWAY RESPONSE STATUS=500 PATH=/API/RESOURCE

THIS IS AFFECTING USERS."
INC-300038,2025-01-01T11:10:00,notification-worker,dev,WARN,null pointer in notification builder,APAC,host-c,"URGENT: 2025-01-01 11:10:00 INFO  notification-worker Starting request correlationId=INC-300038
2025-01-01 11:10:00 WARN  notification-worker NullPointerException at NotificationComposer
2025-01-01 11:10:02 ERROR notification-worker Request failed during downstream call
2025-01-01 11:10:02 INFO  gateway Response status=500 path=/api/resource
2025-01-01 11:10:03 INFO  retry-handler Retrying attempt=2"
INC-300039,2025-01-01T11:15:00,gateway,qa,INFO,cache stampede,US,host-b,"2025-01-01 11:15:00 INFO  GATEWAY STARTING REQUEST CORRELATIONID=INC-300039
2025-01-01 11:15:00 WARN  GATEWAY CACHE MISS BURST CAUSED LATENCY SPIKE
2025-01-01 11:15:02 ERROR GATEWAY REQUEST FAILED DURING DOWNSTREAM CALL
2025-01-01 11:15:02 INFO  GATEWAY RESPONSE STATUS=500 PATH=/API/RESOURCE   THANKS.  "
INC-300040,2025-01-01T11:20:00,gateway,dev,WARN,cache stampede,MEA,host-c,"FYI - 2025-01-01 11:20:00 INFO  gateway Starting request correlationId=INC-300040
2025-01-01 11:20:00 WARN  gateway Cache miss burst caused latency spike
2025-01-01 11:20:02 ERROR gateway Request failed during downstream call
2025-01-01 11:20:02 INFO  gateway Response status=500 path=/api/resource   Thanks.  "
