requirement_id,received_at,source,product_area,requester_role,raw_requirement_text,business_context,delivery_window,priority_hint
REQ-200000,2025-01-01T08:00:00,email,analytics,sales engineer,"Please  plan  a  first  release  for  approval  workflow.  Primary  need:  upload  documents.  Secondary  need:  send  alerts.  Nice  to  have:  view  SLA  metrics.  Need  visibility  for  approval  bottlenecks.
  Sent  from  mobile.","FYI - Current manual process is slow and error-prone.
 Sent from mobile.",next quarter,high
REQ-200001,2025-01-01T09:00:00,crm_sync,inventory,sales engineer,"URGENT: We need audit export for inventory. Users should be able to upload documents, view SLA metrics, and comment on review. Admins want approval bottlenecks. Keep v1 simple and web-first.   Thanks.  ",SUPPORT TEAM GETS REPEATED COMPLAINTS.,2 weeks,
REQ-200002,2025-01-01T10:00:00,crm_sync,payments,product manager,"FYI - We need approval workflow for payments. Users should be able to comment on review, export CSV, and retry failed jobs. Admins want pending queues and turnaround time. Keep v1 simple and web-first.   Thanks.  ",Please help - Needed for enterprise rollout next quarter.,TBD,medium
REQ-200003,2025-01-01T11:00:00,slack,inventory,client stakeholder,"URGENT: Client asked for renewal reminder flow in inventory. The system must support search history. It should also allow view SLA metrics. Reporting should include approval bottlenecks.

This is affecting users.",Leadership  wants  better  visibility  before  scale-up.,next quarter,medium
REQ-200004,2025-01-01T12:00:00,crm_sync,payments,product manager,"Hi team,  Please plan a first release for exception dashboard. Primary need: filter pending items. Secondary need: send alerts. Nice to have: export CSV. Need visibility for pending queues and turnaround time.   Thanks.  ","FYI - Current manual process is slow and error-prone.

This is affecting users.",2 weeks,medium
REQ-200005,2025-01-01T13:00:00,slack,analytics,ops lead,"Hi  team,    Client  asked  for  audit  export  in  analytics.  The  system  must  support  comment  on  review.  It  should  also  allow  upload  documents.  Reporting  should  include  daily  trend  charts.

This  is  affecting  users.",URGENT: Leadership wants better visibility before scale-up.,next quarter,high
REQ-200006,2025-01-01T14:00:00,meeting_notes,document workflow,product manager,"URGENT: Please plan a first release for renewal reminder flow. Primary need: send alerts. Secondary need: export CSV. Nice to have: search history. Need visibility for approval bottlenecks.
 Sent from mobile.","URGENT: Support team gets repeated complaints.
 Sent from mobile.",1 month,medium
REQ-200007,2025-01-01T15:00:00,crm_sync,document workflow,engineering manager,URGENT:  Please  plan  a  first  release  for  self-service  onboarding.  Primary  need:  export  CSV.  Secondary  need:  view  SLA  metrics.  Nice  to  have:  comment  on  review.  Need  visibility  for  approval  bottlenecks.,"Hi team,  Leadership wants better visibility before scale-up.   Thanks.  ",1 month,
REQ-200008,2025-01-01T16:00:00,slack,payments,product manager,"Please  help  -  Client  asked  for  bulk  upload  in  payments.  The  system  must  support  export  CSV.  It  should  also  allow  assign  approvers.  Reporting  should  include  failure  reasons.
  Sent  from  mobile.",FYI - Leadership wants better visibility before scale-up.   Thanks.  ,1 month,medium
REQ-200009,2025-01-01T17:00:00,slack,identity,sales engineer,"Hi team,  Please plan a first release for exception dashboard. Primary need: comment on review. Secondary need: export CSV. Nice to have: view SLA metrics. Need visibility for failure reasons.

This is affecting users.",Support team gets repeated complaints.   Thanks.  ,next quarter,medium
REQ-200010,2025-01-01T18:00:00,meeting_notes,inventory,client stakeholder,Please  help  -  Please  plan  a  first  release  for  approval  workflow.  Primary  need:  send  alerts.  Secondary  need:  retry  failed  jobs.  Nice  to  have:  view  SLA  metrics.  Need  visibility  for  pending  queues  and  turnaround  time.,URGENT: Support team gets repeated complaints.,TBD,
REQ-200011,2025-01-01T19:00:00,crm_sync,identity,product manager,"Hi  team,    We  need  bulk  upload  for  identity.  Users  should  be  able  to  track  status,  search  history,  and  send  alerts.  Admins  want  user-level  activity  report.  Keep  v1  simple  and  web-first.

This  is  affecting  users.",URGENT: Leadership wants better visibility before scale-up.   Thanks.  ,TBD,medium
REQ-200012,2025-01-01T20:00:00,slack,identity,ops lead,"HI TEAM,  PLEASE PLAN A FIRST RELEASE FOR APPROVAL WORKFLOW. PRIMARY NEED: VIEW SLA METRICS. SECONDARY NEED: RETRY FAILED JOBS. NICE TO HAVE: EXPORT CSV. NEED VISIBILITY FOR USER-LEVEL ACTIVITY REPORT.   THANKS.  ",Current  manual  process  is  slow  and  error-prone.      Thanks.    ,2 weeks,
